Abbrev,Description,Usages
RSC,rescue subcenter,ICAO
RSCD,runway surface condition,ICAO
RSCU,rescue,GEN
RSG,rising,NWS
RSN,reason,GEN
RSOPN,resumed operation,GEN
RSP,responder beacon,ICAO
RSR,en route surveillance radar,ICAO
RSTR,restrict,GEN
RSU,runway supervisory unit,GEN
RSVN,reservation,GEN
RT,right turn after takeoff,ATC
RT,round trip,GEN
RTB,return to base,ATC
RTD,delayed,ICAO
RTE,route,GEN
RTF,radiotelephone,GEN
RTG,radiotelegraph,GEN
RTHL,runway threshold light,ICAO
RTMTR,remote transmitter,GEN
RTN,return,ICAO
RTND,retained,GEN
RTNE,routine,GEN
RTO,report time over,ATC
RTR,remote transmitter/receiver,ATC
RTR,returning to ramp,ATC
RTRD,retard,GEN
RTRN,return,GEN
RTS,return to service,GEN
RTT,radioteletypewriter,GEN
RTX,report time crossing,ATC
RTZL,runway touchdown zone light,ICAO
RUF,rough,NWS
RUFORM,reference your form,GEN
RULET,reference letter from your office,GEN
RUMEMO,reference your memorandum,GEN
RUMES,reference message from your office,GEN
RURQN,reference requisition from your office,GEN
RUT,standard regional route transmitting frequencies,ICAO
RUTEL,reference telegram from your office,GEN
RUTWX,reference your TWX,GEN
RV,radar vector,ATC
RV,rescue vessel,ICAO
RVO,runway visibility by observer,GEN
RVR,runway visual range,GEN
RVRA,RVR ten minute average,GEN
RVRANO,RVR ten minute average not available,GEN
RVRENO,RVR ten minute extremes not available,GEN
RVRM,RVR midpoint,GEN
RVRMNO,RVR midpoint not available,GEN
RVRNO,RVR not available,GEN
RVRR,RVR rollout,GEN
RVRRNO,RVR rollout not available,GEN
RVRT,RVR touchdown,GEN
RVRTNO,RVR touchdown not available,GEN
RVS,revise,GEN
RVV,runway visibility value,GEN
RVVNO,RVV not available,GEN
RWRC,remain well to right of course,ATC
RWY,runway,ICAO
RY,runway,GEN
S,South or southern latitude,ICAO
S/A,semiannual,GEN
S/RC,send/receive center,GEN
SA,surveillance approach,GEN
SABH,simultaneous automatic broadcast homer,GEN
SADT,same direction traffic,GEN
SAFI,semiautomatic flight inspection,GEN
SALS,simple approach lighting system,ICAO
SALSF,short approach lighting system with sequenced flashing lights,GEN
SAN,sanitary,ICAO
SAO,surface aviation observation,NWS
SAP,as soon as possible,ICAO
SAPD,speed at pilots discretion,GEN
SAR,search and rescue,GEN
SARPS,standards and recommended practices,ICAO
SASK,Saskatchewan,NWS
SATCOM,satellite communication,ICAO
SATFY,satisfy or satisfactory,GEN
SATR,so as to reach,ATC
SAVASI,simplified abbreviated visual approach slope indicator,GEN
SAWRS,supplementary aviation weather reporting station,GEN
SAYTA,say time able,ATC
SB,southbound,ICAO
SBFC,standby for further clearance,ATC
SBND,southbound,ATC
SBSD,subside,NWS
SC,stratocumulus,NWS
SCAN,selfcorrecting automatic navigation,GEN
SCANO,automatic scanning unit out of service,GEN
SCAOK,automatic scanning unit returned to service,GEN
SCAT,security control of air traffic,GEN
SCATANA,security control of air traffic and air navigation aids,GEN
SCC,System Command Center,GEN
SCLN,semicolon,GEN
SCND,second (in line),GEN
SCS,single channel simplex,GEN
SCSL,standing lenticular stratocumulus,NWS
SCT,scattered,NWS
SCTR,sector,GEN
SCTY,security,GEN
SDB,scheduled data base,GEN
SDBY,standby,GEN
SDF,simplified directional facility,GEN
SE,southeast,ICAO
SEADRM,seadrome,GEN
SEB,southeastbound,ICAO
SEC,second (time),GEN
SECMR,sector manager,GEN
SECRA,secondary radar,GEN
SECT,sector,ICAO
SEL,space environment laboratory,GEN
SELCAL,selective calling,ATC
SELS,severe local storms,NWS
SELY,southeasterly (weather reports only),NWS
SENS,sensitivity,GEN
SEPN,separation,GEN
SEQ,sequence,GEN
SER,service,ICAO
SERN,southeastern (weather reports only),NWS
SES,supervisory electronics specialist,GEN
SESC,space environment service center,GEN
SET,stack entry time,ATC
SEV,severe,ICAO
SF,standard form,GEN
SFA,single frequency approach,GEN
SFC,surface,GEN
SFERICS,atmospherics,NWS
SFL,sequence flashing lights,GEN
SFO,sector field office,GEN
SFPP,stored flight plan program,ATC
SFU,sector field unit,GEN
SG,snow grains (weather reports only),METAR
SGD,signed,GEN
SGFNT,significant,GEN
SGL,signal,GEN
SH,showers,METAR
SHF,super high frequency,GEN
SHFT,shift (weather reports only),NWS
SHGR,hail showers,METAR
SHGS,hail showers (small),METAR
SHLW,shallow,NWS
SHORN,short range navigation system,GEN
SHP,standard holding procedure,GEN
SHPL,ice pellet showers,METAR
SHRA,rain showers,METAR
SHRT,short,GEN
SHRTLY,shortly,NWS
SHRTWV,shortwave,GEN
SHSN,snow showers,METAR
SHTDN,shutdown,GEN
SHUD,should,ATC
SHWR,shower,NWS
SI,straightin approach,GEN
SIA,standard instrument approach,GEN
SIAP,standard instrument approach procedure,GEN
SID,standard instrument departure,GEN
SIERNEV,Sierra Nevada,NWS
SIF,selective identification feature,ICAO
SIG,signature,GEN
SIGMET,significant meteorological information,GEN
SIGWX,significant weather,ICAO
SIM,simulated approach,ATC
SIMUL,simultaneous,GEN
SIR,snow and ice on runway,NWS
SIWL,single isolated wheel load,ICAO
SJP,standard jet penetration,GEN
SK,sky condition (PIREP only),ATC
SKC,sky clear,METAR
SKED,schedule,GEN
SL,sea level,GEN
SLCT,select,GEN
SLD,solid,NWS
SLGT,slight,GEN
SLMM,simultaneous compass locator at middle marker,GEN
SLO,slow,GEN
SLOM,simultaneous compass locator at outer marker,GEN
SLP,speed limiting point,ICAO
SLR,slush on runway,NWS
SLRAP,standard low frequency range approach,GEN
SLS,side lobe suppression,GEN
SLT,sleet,NWS
SLW,slow,ICAO
SM,statute mile,GEN
SMC,surface movement control,ICAO
SML,small,GEN
SMR,surface movement radar,ICAO
SMRY,summary,GEN
SMS,systems maintenance sector,GEN
SMT,submit,GEN
SMTH,smooth,NWS
SMTM,sometime,GEN
SMWHT,somewhat,GEN
SN,systems navigation,GEN
SNBNK,snowbank,NWS
SND,sand or sanded or sanding,GEN
SNFLK,snowflake,NWS
SNGL,single,GEN
SNOINCR,snow depth increase in past hour,NWS
SNOWTAM,"NOTAM reporting the presence or removal of hazardous conditions due to snow, ice, slush or standing water associated with snow, slush or ice on the movement area",ICAO
SNSH,snow showers,ICAO
SNW,snow,NWS
SNWFL,snowfall,NWS
SOAP,spectrometric oil analysis program,ATC
SOB,souls on board,ATC
SOCC,NORAD Sector Operations Control Center,GEN
SOMSG,see our message,GEN
SOP,standard operating procedure,GEN
SORAP,standard omni range approach,GEN
SP,station pressure,NWS
SPAN,stored program for alpha numerics,GEN
SPB,seaplane base,GEN
SPCLY,especially,GEN
SPD,speed,GEN
SPEC,specification,GEN
SPECI,aviation selected special weather report,METAR
SPKL,sprinkle,NWS
SPL,special,GEN
SPL,supplementary flight plan,ICAO
SPLNS,south plains,NWS
SPO,strategic plan of operation,ATC
SPOT,spot wind,ICAO
SPRD,spread,NWS
SPRL,spiral,GEN
SPS,Standard Positioning Service,ATC
SPT,strategic planning team,ATC
SQ,squall,METAR
SQDN,squadron,GEN
SQK,squawk,ATC
SQLN,squall line,NWS
SR,standard range approach,GEN
SR,sunrise,GEN
SRA,surveillance radar approach,ICAO
SRCH,search,GEN
SRE,surveillance radar element of precision approach radar system,ICAO
SRG,short range,ICAO
SRND,surround,GEN
SRPN,special requisition priority number,GEN
SRR,search and rescue region,ICAO
SRY,secondary,ICAO
SS,sandstorm,METAR
SS,sunset,GEN
SSALF,simplified short approach lighting system with sequenced flashers,GEN
SSALR,simplified short approach lighting system with runway alignment indicator lights,GEN
SSALS,simplified short approach lighting system,GEN
SSB,single sideband,ICAO
SSE,southsouth east,ICAO
SSERN,southsoutheastern (weather reports only),NWS
SSEWD,southsoutheastward (weather reports only),NWS
SSNO,request no SIDs or STARs,ATC
SSR,secondary surveillance radar,GEN
SST,supersonic transport,ICAO
SSW,southsouth west,ICAO
SSWRN,southsouthwestern (weather reports only),NWS
SSWWD,southsouthwestward (weather reports only),NWS
ST,stratus,NWS
STA,straight in approach,ICAO
STADMR,station administrator,GEN
STAGN,stagnation,NWS
STALO,stabilized local oscillator,GEN
STAR,standard terminal arrival,GEN
STBL,stable,GEN
STCLB,start climb,ATC
STD,standard,GEN
STDST,start descent,ATC
STDY,steady,GEN
STF,stratiform,ICAO
STFRA,stratus fractus,NWS
STFRM,stratiform,NWS
STG,strong,NWS
STLT,satellite,GEN
STM,storm,NWS
STMGR,station manager,GEN
STMP,special traffic management program,ATC
STN,station,GEN
STNR,stationary,ICAO
STNRY,stationary,NWS
STR,subject terminal control release,ATC
STRO,stereo routes,GEN
STS,status,ICAO
STWL,stopway light,ICAO
STWY,stopway,GEN
SUA,special use airspace,GEN
SUB,substitute,GEN
SUBFIX,subject to correction,GEN
SUBJ,subject to,ICAO
SUF,sufficient,GEN
SUG,suggest,GEN
SUP,supply,GEN
SUPCHG,supercharge,GEN
SUPPL,supplement,GEN
SUPPS,regional supplementary procedures,ICAO
SUPR,superior,GEN
SUPSD,supersede,GEN
SUPT,superintendent,GEN
SUPVR,supervisor,GEN
SURPIC,surface picture,ATC
SUSP,suspend,GEN
SVC,service,GEN
SVCBL,serviceable,ICAO
SVFR,special VFR,GEN
SVG,serving,GEN
SVN,space vehicle number,GEN
SVR,severe,GEN
SVRL,several,GEN
SW,southwest,ICAO
SWAP,severe weather avoidance plan,GEN
SWB,scheduled weather broadcast,GEN
SWB,southwestbound,ICAO
SWLG,swelling,NWS
SWLY,southwesterly (weather reports only),NWS
SWRN,southwestern (weather reports only),NWS
SWSL,supplemental weather service location,ATC
SWY,stopway,ICAO
SX,stability index,NWS
SXN,section,NWS
SYD,release subject your discretion,GEN
SYNOP,synoptic,NWS
SYNS,synopsis,NWS
SYS,system,GEN
T,Temperature,ICAO
T/R,transportation request,GEN
TA,transition altitude,ICAO
TAC,terminal area chart,GEN
TACAN,tactical air navigational aid,GEN
TACLO,tactical air command liaison officer,GEN
TACR,tactical air navigation,GEN
TAD,"ATC tower, approach and departure control facility",ATC
TAF,aerodrome forecast,ICAO
TAF,terminal forecast,METAR
TAIL,tail wind,ICAO
TAND,tandum,GEN
TANDA,time and attendance report,GEN
TAO,TACAN only,ATC
TAO,time and altitude over,ATC
TAPER,temporary appointment pending establishment of a register,GEN
TAR,terminal area surveillance radar,ICAO
TARND,turn around,ATC
TARS,terminal automated radar services,GEN
TARS,Tethered Aerostat Radar System,GEN
TAS,true air speed,GEN
TASR,terminal area surveillance radar,GEN
TAWOG,travel arrangements without government expense,GEN
TB,turbulence (PIREP only),ATC
TBJT,turbojet,GEN
TC,time check,ATC
TC,tropical cyclone,ICAO
TCA,tactical customer advocate,ATC
TCA,terminal control area,GEN
TCAS,traffic alert and collision avoidance system,GEN
TCH,threshold crossing height,GEN
TCHD,threshold crossing height downwind,GEN
TCHU,threshold crossing height upwind,GEN
TCNTL,transcontinental,GEN
TCOM,terminal communications,GEN
TCP,transfer of control point,ATC
TCU,towering cumulus,NWS
TD,Touchdown,ATC
TD,transmitter distributor,GEN
TDA,Today,GEN
TDEL,time delay,GEN
TDLS,Terminal Data Link System,GEN
TDO,Tornado,ICAO
TDOP,Time Dilution of Precision,ATC
TDWR,Terminal Doppler Weather Radar,ATC
TDY,temporary duty,GEN
TDZ,touchdown zone,GEN
TDZE,touchdown zone elevation,ATC
TDZL,touchdown zone light (system),GEN
TEC,tower en route control,ATC
TECA,tower en route control area,ATC
TECR,technical reason,ICAO
TEL,telecommunications,GEN
TEL,Telephone,ICAO
TELAU,Teleautograph,GEN
TELCO,telephone company,GEN
TELCON,telephone conference,GEN
TELEX,telephone exchange,GEN
TELRY,telegraph reply,GEN
TEMP,Temperature,GEN
TEMPO,Temporary,METAR
TEND,Trend,ICAO
terminal,#VALUE!,GEN
TERPS,terminal instrument procedures,GEN
TET,Tetrahedron,GEN
TF,terrain following,GEN
TFC,Traffic,GEN
TFMS,traffic flow management system,ATC
TFRCD,traffic received,ATC
TFZ,traffic zone,GEN
TGL,touch and go landing,GEN
TGS,taxiing guidance system,ICAO
THD,Thunderhead,NWS
THDR,Thunder,NWS
THK,Thick,NWS
THLD,Threshold,GEN
THN,Thin,NWS
THR,Threshold,ATC
THRFTR,Thereafter,GEN
THRU,Through,GEN
THRUT,Throughout,GEN
THSD,Thousand,GEN
THTN,threaten,GEN
TIBA,Traffic information broadcast by aircraft,ICAO
TIL,until,GEN
time,#VALUE!,ICAO
TINOP,transponder inoperative,ATC
TIP,until past,ATC
TIPS,terminal information processing system,GEN
TKOF,takeoff,GEN
TLM,Telemetry,ATC
TLRNC,tolerance,GEN
TLTP,too long to print,GEN
TLWD,tailwind,ATC
TM,time (PIREP only),ATC
TM,traffic management,ATC
TMA,terminal control area,ICAO
TMPA,traffic management program alert,ATC
TMPRY,temporary,GEN
TMT,transmit,GEN
TMW,tomorrow,GEN
TNA,turn altitude,ICAO
TNDCY,tendency,GEN
TNGT,tonight,GEN
TNH,turn height,ICAO
TNTV,tentative,GEN
TOC,to be continued,GEN
TOC,top of climb,ICAO
TOD,time of delivery,GEN
TODA,takeoff distance available,ICAO
TOG,takeoff gross weight,GEN
TOP,cloud top,NWS
TOR,time of receipt,GEN
TOR,traffic on request,ATC
TORA,takeoff run available,ICAO
TOT,time of transmission,GEN
TOVC,top of overcast,NWS
TP,turning point,ICAO
TPA,traffic pattern altitude,ATC
TPG,topping,NWS
TR,track,ICAO
TR,VFR low altitude training routes,GEN
TRA,temporary reserved airspace,ICAO
TRACAB,terminal radar approach control in tower cab,GEN
TRACON,terminal radar approach control facility,GEN
TRAD,terminal radar,GEN
TRAN,transient,ATC
TRANS,transmit or transmitter,ICAO
TRBL,trouble,GEN
TRCV,tricolor visual approach slope indicator,GEN
TRIB,tributary,NWS
TRLVL,transition level,ICAO
TRML,terminal,GEN
TRMT,terminate,GEN
TRNG,Training,GEN
TRNSP,Transport,GEN
TROF,Trough,NWS
TROP,Tropopause,NWS
TRPCD,tropical continental (air mass),NWS
TRPCL,Tropical,NWS
TRPLYR,trapping layer,NWS
TRRN,Terrain,GEN
TRSA,terminal radar service area,GEN
TRSN,Transition,GEN
TRTD,Treated,GEN
TS,transmitter station,GEN
TSA,Transportation Security Administration,GEN
TSATLC,TransAtlantic,GEN
TSEC,terminal secondary radar beacon,GEN
TSFR,Transfer,GEN
TSGR,thunderstorm with hail,METAR
TSGS,thunderstorm with small hail,METAR
TSMNO,transmitting capability out of service,GEN
TSMOK,transmitting capability returned to service,GEN
TSNO,thunderstorm information not available,METAR
TSNT,Transient,GEN
TSO,technical standard order,GEN
TSPAC,TransPacific,GEN
TSPL,thunderstorm with ice pellets,METAR
TSRA,thunderstorm with rain,METAR
TSSA,thunderstorm with duststorm or sandstorm,METAR
TSSN,thunderstorm with snow,METAR
TSTM,thunderstorm,NWS
TT,teletypewriter,GEN
TTS,teletype switching facilities,GEN
TTY,teletypewriter station,GEN
TURB,turbulence,ICAO
TURBC,turbulence,NWS
TURBT,turbulent,NWS
TVASIS,T visual approach slope indicator system,ICAO
TVL,travel,GEN
TVOR,terminal VOR,GEN
TWD,toward,GEN
TWEB,transcribed weather broadcast,GEN
TWI,twilight,GEN
TWR,aerodrome control tower,ICAO
TWR,tower,GEN
TWRG,towering,NWS
TWS,radar track while scan,ATC
TWX,teletypewriter exchange service,GEN
TWY,taxiway,GEN
TWYL,taxiway link,ICAO
TXG,taxiing,ATC
TXT,Text,ICAO
TYP,type aircraft,ICAO
TYPH,typhoon,ICAO
TYPNO,teletypewriter communications out of service,GEN
TYPOK,teletypewriter communications returned to service,GEN
U,Intensity unknown (weather reports only),NWS
U/S,unserviceable,ICAO
UA,unable to approve arrival for the time specified,ATC
UAB,until advised by,ATC
UAC,upper area control center,ICAO
UAG,upper atmosphere geophysics,NWS
UAR,upper air route,ICAO
UAT,until advised by the tower,ATC
UCDWN,until cleared down,ATC
UCLT,until cleared to land by the tower,ATC
UD,unable to approve departure for the time specified,ATC
UDDF,up and down drafts,NWS
UDF,ultra high frequency direction finding station,ICAO
UERE,User Equivalent Range Error,ATC
UFA,until further advised,GEN
UFN,until further notice,GEN
UFO,unidentified flying object,GEN
UHA,unable higher altitude,ATC
UHDODT,unable higher due opposite direction traffic,ATC
UHDSDT,unable higher due same direction traffic,ATC
UHDT,unable higher due traffic,ICAO
UHDT,unable higher due traffic,ICAO
UHF,ultra high frequency,GEN
UIC,upper information center,ICAO
UIR,upper flight information region,ICAO
ULDT,unable lower due traffic,ATC
ULR,untra long range,ICAO
UM,unable to maintain,ATC
UN,Unable,GEN
UNA,Unable,ICAO
UNAP,unable to approve,ICAO
UNAPV,unable to approve,GEN
UNAR,unable to approve altitude requested,ATC
UNATNDD,Unattended,GEN
UNAVBL,Unavailable,GEN
UNCC,unable to contact company radio,ATC
UNDLD,Undelivered,GEN
UNEC,Unnecessary,GEN
UNHRD,Unheard,GEN
UNID,Unidentified,GEN
UNKN,Unknown,GEN
UNL,Unlimited,GEN
UNLGTD,Unlighted,GEN
UNMON,unable to monitor,GEN
UNMON,Unmonitored,ATC
UNOFFL,Unofficial,GEN
UNRDBL,Unreadable,GEN
UNREL,Unreliable,ICAO
UNRELBL,Unreliable,GEN
UNRR,unable to approve route requested,ATC
UNRSTD,unrestricted,GEN
UNSATFY,unsatisfactory,GEN
UNSBL,unseasonable,NWS
UNSKED,unscheduled,GEN
UNSTBL,unstable,NWS
UNSTDY,unsteady,NWS
UNSTL,unsettle,NWS
UNTC,unable to establish contact,ATC
UNUSBL,unusable,GEN
UPDFTS,up drafts,NWS
UPDT,update,NWS
UPR,upper,NWS
UPSLP,upslope,NWS
UPSTRM,upstream,NWS
UQOT,unquote,GEN
URAUZ,you are authorized,GEN
URG,urgent,GEN
URIZR,your recommendation is requested,GEN
USA,U.S. Army,GEN
USAF,U.S. Air Force,GEN
USAFIB,U.S. Army Aviation Flight Information,GEN
USBL,usable,GEN
USCG,U.S. Coast Guard,GEN
USMC,U.S. Marine Corps,GEN
USN,U.S. Navy,GEN
USNO,United States Naval Observatory,ATC
USNOF,United States NOTAM Office,GEN
USNS,United States NOTAM System,GEN
USP,urgent special observation (weather reports only),NWS
UTA,upper control area,ICAO
UTC,Coordinated Universal Time,GEN
UTCOK,Coordinated Universal Time Coordinate Check Completed,GEN
UUA,urgent PIREP,ATC
UVV,upward vertical velocity,NWS
UW,upwind,ATC
UWNDS,upper winds,NWS
V,Variable (weather reports only),NWS
VA,volcanic ash,METAR
VAC,Visual approach chart (followed by name/title),ICAO
VAC,visual approach chart,ICAO
VACAPES,Virginia Capes,ATC
VADA,VFR arrival delay advisory,ATC
VAL,in valleys,ICAO
VAN,runway control van,ICAO
VAPS,V/STOL approach system,GEN
VAR,magnetic variation,ICAO
VARN,Variation,GEN
VASI,visual approach slope indicator,GEN
VASIS,visual approach slope indicator system,ICAO
VC,Vicinity,METAR
VC,Vicinity,METAR
VC,Vicinity,TAF
VCFG,fog in vicinity,METAR
VCNTY,Vicinity,GEN
VCOT,VFR conditions on top,ATC
VCTR,Vector,ATC
VDF,very high frequency directionfinding station,ICAO
VDOP,Vertical Dilution of Precision,ATC
VDP,visual descent point,GEN
VER,Vertical,ICAO
VF,maintaining visual flight (Special VFR),ATC
VFLT,visual flight,GEN
VFPR,via flight planned route,ATC
VFR,visual flight rules,GEN
VFRSA,VFR restrictions still apply,ATC
VFY,Verify,GEN
VHF,very high frequency,GEN
VIA,by way of,GEN
VIP,visual integrated presentation,GEN
VIS,Visibility,GEN
VLCTY,Velocity,NWS
VLF,very low frequency,GEN
VLFD,via low frequency direct,ATC
VLNT,Violent,NWS
VLR,very long range,ICAO
VLY,Valley,NWS
VM,voice modulation,GEN
VMC,visual meteorological conditions,GEN
VNAV,vertical navigation (from TERPSA1),GEN
VOD,via omni direct,ATC
VOL,Volume,GEN
VOLMET,meteorological information for aircraft in flight,ICAO
VOPR,voice operated relay,GEN
VOR,VHF omnidirectional radio range,GEN
VOR/DME,VOR and DME (collocated),GEN
VORTAC,VOR and TACAN (collocated),GEN
VOT,VOR test signal,GEN
VOU,voucher,GEN
VR,VFR military training routes,GEN
VRB,variable,ICAO
VRBL,variable,GEN
VRG,visual reference gate,GEN
VRISL,"Vancouver Island, BC",NWS
VRT,MOTN vertical motion,NWS
VSA,by visual reference to the ground,ICAO
VSB,visible,GEN
VSBY,visibility,NWS
VSBYDR,visibility decreasing rapidly,NWS
VSBYIR,visibility increasing rapidly,NWS
VSL,vessel,GEN
VSP,vertical speed,ICAO
VSPI,visual glide path indicator,GEN
VSTOL,vertical/short takeoff and landing,GEN
VTOL,vertical takeoff and landing,ICAO
VV,vertical visibility (indefinite ceiling),METAR
W,west or western longitude,ICAO
WA,AIRMET,NWS
WAAS,Wide Area Augmentation System,ATC
WAC,world aeronautical chart,GEN
WAC,World aeronautical chart,ICAO
WAFC,world area forecast center,ICAO
WAIOP,"will accept, if offered, the position",GEN
WB,Westbound,ICAO
WBAR,wing bar lights,ICAO
WBND,Westbound,ATC
WBRBN,will be reported by NOTAM,GEN
WBRH,Weather Bureau Regional Headquarters,GEN
WBTS,Whereabouts,GEN
WCLC,Watch check list completed,GEN
WDC1,World Data Centers in Western Europe,NWS
WDC2,World Data Centers throughout rest of world,NWS
WDI,wind direction indicator,ICAO
WDLY,Widely,NWS
WDSPR,Widespread,GEN
WDSPRD,Widespread,NWS
WEA,Weather,NWS
WEF,"With effect from, or effective from",ICAO
WFO,Weather Forecast Office,GEN
WFP,Warm front passage,NWS
WG,Working group,GEN
WGS,World Geodetic System,ATC
WGS84,World geodetic system 1984,ICAO
WI,within,GEN
WIBIS,will be issued,GEN
WICA,while in control area,ATC
WICZ,while in control zone,ATC
WID,width,ICAO
WIE,with immediate effect or effective immediately,ICAO
WILCO,will comply,GEN
WINT,winter,NWS
WINTEM,forecast upper wind and temperature for aviation,ICAO
WIP,work in progress,GEN
WK,weak,GEN
WKDAY,weekday,GEN
WKEND,weekend,GEN
WKN,weaken,GEN
WL,will,GEN
WLAV,will advise,GEN
WMO,World Meteorological Organization,GEN
WMSC,Weather Message Switching Center,GEN
WND,wind,NWS
WNW,westnorth west,ICAO
WNWRN,westnorthwestern (weather reports only),NWS
WNWWD,westnorthwestward (weather reports only),NWS
WO,without,GEN
WP,waypoint,GEN
WPLTO,western plateau,NWS
WPM,words per minute,GEN
WPRT,waypoint report,ATC
WPT,waypoint,ICAO
WR,wet runway,NWS
WRC,well to right of course,ATC
WRM,warm,NWS
WRMFNT,warm front,NWS
WRNG,warning,NWS
WRS,worse,GEN
WS,SIGMET,NWS
WS,weak signals,ATC
WS,wind shear,ICAO
WSCMO,Weather Service Contract Meteorological Observatory,GEN
WSHFT,wind shift,NWS
WSO,Weather Service Office,GEN
WSOM,weather service operations manual,NWS
WSP,weather system processor (replacement for LLWAS),GEN
WSR,wet snow on runway,NWS
WSSF,National Weather Service Support Facility,GEN
WSSU,National Weather Service Support Unit,GEN
WSTCH,wasatch range,NWS
WSW,westsouth west,ICAO
WSWRN,westsouthwestern (weather reports only),NWS
WSWWD,westsouthwestward (weather reports only),NWS
WT,Weight,GEN
WTR,Water,NWS
WTR,well to right,ATC
WTSPT,waterspout,NWS
WU,Western Union Telegraph Company,GEN
WV,wind at altitude (PIREP only),ATC
WW,severe weather forecast,NWS
WWW,World wide web,ICAO
WX,weather at altitude (PIREP only),ATC
WX,Weather,GEN
WXCON,weather reconnaissance flight pilot report,NWS
WYAIO,"will you accept, if offered, the position of",GEN
X,Cross,ICAO
XBAR,Crossbar,ICAO
XCP,Except,NWS
XFSS,Auxiliary Flight Service Station,ATC
XH,special handling service for aircraft,GEN
XNG,Crossing,ICAO
XPC,expect,NWS
XPLOS,explosive,GEN
XREP,auxiliary report,GEN
XS,atmospherics,ICAO
XTAL,crystal,GEN
XTLK,cross talk,ATC
XW,crosswind,ATC
XX,"heavy (to qualify weather phenomena, e.g. XXRA heavy rain)",ICAO
Y,Yukon Standard Time (time groups only),NWS
YCZ,yellow caution zone (runway lighting),ICAO
YD,Yards,ICAO
YDA,Yesterday,GEN
YES,Yes (affirmative),ICAO
YKN,Yukon,NWS
YL,approach light lane,ATC
YLSTN,Yellowstone,NWS
YMSG,your message,GEN
YMSGD,your message date,GEN
YR,Your,ICAO
Z,jet terminal area,ATC
ZI,zonal index,NWS
ZI,zone of interior,NWS
ZM,Z marker (VHF station location marker),GEN
ZRNO,freezing rain information not available (weather reports only),NWS
